latitude,longitude,elevation
34.0,-118.2,273.41933982756905
34.0,-118.1979797979798,350.4124864359696
34.0,-118.1959595959596,391.31178151675107
34.0,-118.1939393939394,465.2004790173887
34.0,-118.1919191919192,512.3598850949213
34.0,-118.18989898989899,527.4860045828839
34.0,-118.18787878787879,537.5684364449946
34.0,-118.18585858585858,533.0402872656217
34.0,-118.18383838383839,569.8317872053858
34.0,-118.18181818181819,544.7513938551056
34.0,-118.17979797979798,476.92510842122675
34.0,-118.17777777777778,401.5108090385685
34.0,-118.17575757575757,339.02897008053924
34.0,-118.17373737373738,280.7531689845738
34.0,-118.17171717171718,189.79839702412625
34.0,-118.16969696969697,148.3597548898204
34.0,-118.16767676767677,59.23904650396578
34.0,-118.16565656565656,-2.7769048470937676
34.0,-118.16363636363637,-50.56404008549238
34.0,-118.16161616161617,-165.48072596611226
34.0,-118.15959595959596,-185.43207372334277
34.0,-118.15757575757576,-273.61908265538347
34.0,-118.15555555555555,-257.3777937051525
34.0,-118.15353535353536,-237.02914785564099
34.0,-118.15151515151516,-256.2974497534575
34.0,-118.14949494949495,-260.406333378596
34.0,-118.14747474747475,-212.5658768125693
34.0,-118.14545454545454,-169.49294050158892
34.0,-118.14343434343435,-91.1775929430332
34.0,-118.14141414141415,-31.643168430307895
34.0,-118.13939393939394,29.7014380017146
34.0,-118.13737373737374,133.71787533769108
34.0,-118.13535353535353,166.74578645334535
34.0,-118.13333333333334,219.4175445252467
34.0,-118.13131313131314,284.41110261898774
34.0,-118.12929292929293,305.61198203051674
34.0,-118.12727272727273,330.0501500734279
34.0,-118.12525252525252,369.28418715113605
34.0,-118.12323232323233,386.7090428108977
34.0,-118.12121212121212,331.94010669091614
34.0,-118.11919191919192,339.2148428785007
34.0,-118.11717171717171,291.3374934522107
34.0,-118.11515151515151,207.63843514369546
34.0,-118.11313131313132,178.78965083486153
34.0,-118.11111111111111,107.62827558697019
34.0,-118.10909090909091,90.84676613665137
34.0,-118.1070707070707,-36.42632470324292
34.0,-118.1050505050505,-45.62756792074953
34.0,-118.10303030303031,-142.77187970159662
34.0,-118.1010101010101,-197.866519671179
34.0,-118.0989898989899,-226.3322237335945
34.0,-118.0969696969697,-238.8474137404369
34.0,-118.0949494949495,-297.1678645792392
34.0,-118.0929292929293,-278.8274378071992
34.0,-118.0909090909091,-246.4600390976097
34.0,-118.08888888888889,-189.69125690526596
34.0,-118.08686868686868,-167.1428794472279
34.0,-118.0848484848485,-166.2073855356903
34.0,-118.08282828282829,-49.20892429486628
34.0,-118.08080808080808,21.55329995404641
34.0,-118.07878787878788,75.54839825242699
34.0,-118.07676767676767,157.9418231906686
34.0,-118.07474747474748,267.0003276252674
34.0,-118.07272727272728,315.1670093299732
34.0,-118.07070707070707,401.7191551975138
34.0,-118.06868686868687,427.6789101525416
34.0,-118.06666666666666,494.98832259501626
34.0,-118.06464646464647,533.9678188063618
34.0,-118.06262626262627,523.5498981145448
34.0,-118.06060606060606,550.0610181745399
34.0,-118.05858585858586,540.3000246277539
34.0,-118.05656565656565,526.7400262969937
34.0,-118.05454545454546,479.4020572242817
34.0,-118.05252525252526,468.90759221320894
34.0,-118.05050505050505,359.1352253912
34.0,-118.04848484848485,307.28909816512294
34.0,-118.04646464646464,207.47427043596406
34.0,-118.04444444444445,119.47200351908211
34.0,-118.04242424242425,60.38189041688137
34.0,-118.04040404040404,-31.888395195153382
34.0,-118.03838383838384,-106.0750947821
34.0,-118.03636363636363,-157.21594983183473
34.0,-118.03434343434344,-177.01560790078258
34.0,-118.03232323232324,-267.33972344539336
34.0,-118.03030303030303,-261.8350712557912
34.0,-118.02828282828283,-266.6348653584919
34.0,-118.02626262626262,-274.93912653485876
34.0,-118.02424242424243,-233.80836283551224
34.0,-118.02222222222223,-184.67035511510454
34.0,-118.02020202020202,-187.70968862521528
34.0,-118.01818181818182,-97.46225300604395
34.0,-118.01616161616161,-44.83438437133125
34.0,-118.01414141414142,21.945478554082243
34.0,-118.01212121212122,126.66639356759393
34.0,-118.01010101010101,159.02380653346813
34.0,-118.0080808080808,222.81441232390097
34.0,-118.0060606060606,251.7989485980982
34.0,-118.00404040404041,310.0382469854297
34.0,-118.0020202020202,344.2014189124532
34.0,-118.0,317.2737599961138
34.002020202020205,-118.2,320.5507334034882
34.002020202020205,-118.1979797979798,356.12529525983393
34.002020202020205,-118.1959595959596,451.04054898773893
34.002020202020205,-118.1939393939394,536.2244548710311
34.002020202020205,-118.1919191919192,569.4508203304067
34.002020202020205,-118.18989898989899,634.486499974918
34.002020202020205,-118.18787878787879,623.7486701436079
34.002020202020205,-118.18585858585858,668.7194863646959
34.002020202020205,-118.18383838383839,633.735676914473
34.002020202020205,-118.18181818181819,644.6657647852275
34.002020202020205,-118.17979797979798,560.6889699543464
34.002020202020205,-118.17777777777778,466.47926340345134
34.002020202020205,-118.17575757575757,410.6897380273467
34.002020202020205,-118.17373737373738,329.0037680289826
34.002020202020205,-118.17171717171718,227.37986842761222
34.002020202020205,-118.16969696969697,107.26305970195713
34.002020202020205,-118.16767676767677,32.97309579203394
34.002020202020205,-118.16565656565656,-79.81831357903184
34.002020202020205,-118.16363636363637,-133.79573704135458
34.002020202020205,-118.16161616161617,-215.00657393310615
34.002020202020205,-118.15959595959596,-298.85081814580946
34.002020202020205,-118.15757575757576,-301.0650655675159
34.002020202020205,-118.15555555555555,-289.77927505684585
34.002020202020205,-118.15353535353536,-321.91322759544107
34.002020202020205,-118.15151515151516,-315.3615111366652
34.002020202020205,-118.14949494949495,-288.64517076725184
34.002020202020205,-118.14747474747475,-257.91284566418244
34.002020202020205,-118.14545454545454,-156.76901622392856
34.002020202020205,-118.14343434343435,-133.32238378502473
34.002020202020205,-118.14141414141415,-83.01385145491122
34.002020202020205,-118.13939393939394,53.96095578691721
34.002020202020205,-118.13737373737374,90.86038792674574
34.002020202020205,-118.13535353535353,171.86902555311798
34.002020202020205,-118.13333333333334,262.98289175001224
34.002020202020205,-118.13131313131314,310.61860622867067
34.002020202020205,-118.12929292929293,369.7210236503863
34.002020202020205,-118.12727272727273,377.32293810125975
34.002020202020205,-118.12525252525252,384.47761799884915
34.002020202020205,-118.12323232323233,369.71064505946714
34.002020202020205,-118.12121212121212,396.0530231342134
34.002020202020205,-118.11919191919192,357.4382146476847
34.002020202020205,-118.11717171717171,321.6389361504152
34.002020202020205,-118.11515151515151,202.48807058982806
34.002020202020205,-118.11313131313132,195.3422665177844
