blue_id,timestamp,latitude,longitude,blue_type,speed,heading
B001,2025-04-23 02:48:44.412128,34.06034133803491,-118.1842230491542,recon,7.8753673337849595,296.075462730842
B002,2025-04-23 02:48:44.412128,34.01047547055533,-118.0,infantry,22.46224011866324,125.24962519169249
B003,2025-04-23 02:48:44.412128,34.10234203369339,-118.2,recon,4.481714815085652,294.0262439145101
B004,2025-04-23 02:48:44.412128,34.05659849437044,-118.12791143479176,infantry,9.524494597432952,19.522945923194168
B005,2025-04-23 02:48:44.412128,34.11941152876003,-118.16449480343219,command,10.16488679542028,199.7061286547513
B006,2025-04-23 02:48:44.412128,34.04249292986198,-118.05176989390161,vehicle,4.613319536254041,148.00693912159863
B007,2025-04-23 02:48:44.412128,34.1651223997551,-118.07618186392334,command,23.321112021801085,100.20003409535853
B008,2025-04-23 02:48:44.412128,34.04088501855753,-118.17498474894347,infantry,8.35308475278072,10.77703319148274
B009,2025-04-23 02:48:44.412128,34.14983738363837,-118.06522186843605,vehicle,23.818471948007506,56.899921206175314
B010,2025-04-23 02:48:44.412128,34.079427740441,-118.2,infantry,13.72254957654749,205.63032754128093
B011,2025-04-23 02:48:44.412128,34.06260503071748,-118.06859177457527,infantry,21.779485078097206,0.12022236762350147
B012,2025-04-23 02:48:44.412128,34.111155336967634,-118.04081319495978,vehicle,12.895438731444509,212.1076701417807
B013,2025-04-23 02:48:44.412128,34.08891852089807,-118.0462550011891,recon,6.7723710045616805,348.1038735944121
B014,2025-04-23 02:48:44.412128,34.14223396621102,-118.03478606052862,infantry,15.933111366580686,18.50197085309018
B015,2025-04-23 02:48:44.412128,34.15797927912342,-118.15562285218067,vehicle,18.33942450505947,244.71712627715513
B001,2025-04-23 03:38:44.412128,34.065539015955196,-118.19704375608384,recon,7.8753673337849595,296.075462730842
B002,2025-04-23 03:38:44.412128,34.0,-118.0,infantry,22.46224011866324,125.24962519169249
B003,2025-04-23 03:38:44.412128,34.10508190274641,-118.2,recon,4.481714815085652,294.0262439145101
B004,2025-04-23 03:38:44.412128,34.07007733791468,-118.12214285007495,infantry,9.524494597432952,19.522945923194168
B005,2025-04-23 03:38:44.412128,34.10504279762721,-118.17071133802833,command,10.16488679542028,199.7061286547513
B006,2025-04-23 03:38:44.412128,34.03661813572041,-118.04734086980285,vehicle,4.613319536254041,148.00693912159863
B007,2025-04-23 03:38:44.412128,34.15892145872679,-118.03453051846344,command,23.321112021801085,100.20003409535853
B008,2025-04-23 03:38:44.412128,34.053205972622614,-118.17215452802107,infantry,8.35308475278072,10.77703319148274
B009,2025-04-23 03:38:44.412128,34.16936792669994,-118.02901995565445,vehicle,23.818471948007506,56.899921206175314
B010,2025-04-23 03:38:44.412128,34.06085071140172,-118.2,infantry,13.72254957654749,205.63032754128093
B011,2025-04-23 03:38:44.412128,34.09530688827478,-118.06850894566497,infantry,21.779485078097206,0.12022236762350147
B012,2025-04-23 03:38:44.412128,34.09475429885546,-118.05324316919766,vehicle,12.895438731444509,212.1076701417807
B013,2025-04-23 03:38:44.412128,34.098868851642536,-118.04878608074571,recon,6.7723710045616805,348.1038735944121
